run_id,timestamp,previous_batches,previous_traversals,previous_elapsed_sec,run_batches,run_traversals,run_elapsed_sec,total_batches,total_traversals,total_elapsed_sec,batches,traversals,elapsed_sec,workers,merge_interval,regret_update,stack,small_blind,infosets,utility_sum_last_batch,checkpoint_reason
20260502-222802,1777790939.6754901,0,0,0.0,7339,44034000,15656.955757141113,7339,44034000,15656.955757141113,7339,44034000,15656.955757141113,10,300,cfr,1000,10,6336,-661.6246921987873,interval
20260502-222802,1777791241.654146,0,0,0.0,7482,44892000,15958.939250946045,7482,44892000,15958.939250946045,7482,44892000,15958.939250946045,10,300,cfr,1000,10,6336,-33.9229956128618,interval
20260502-222802,1777791542.595377,0,0,0.0,7621,45726000,16259.88565993309,7621,45726000,16259.88565993309,7621,45726000,16259.88565993309,10,300,cfr,1000,10,6336,-1982.1296583342496,interval
20260502-222802,1777791843.3763268,0,0,0.0,7761,46566000,16560.665000915527,7761,46566000,16560.665000915527,7761,46566000,16560.665000915527,10,300,cfr,1000,10,6336,-203.01911997312374,interval
20260502-222802,1777792143.9559228,0,0,0.0,7900,47400000,16861.24276304245,7900,47400000,16861.24276304245,7900,47400000,16861.24276304245,10,300,cfr,1000,10,6336,3224.020137798077,interval
20260502-222802,1777792444.417244,0,0,0.0,8038,48228000,17161.70773410797,8038,48228000,17161.70773410797,8038,48228000,17161.70773410797,10,300,cfr,1000,10,6336,-2572.074315509578,interval
20260502-222802,1777792745.65907,0,0,0.0,8178,49068000,17462.948329925537,8178,49068000,17462.948329925537,8178,49068000,17462.948329925537,10,300,cfr,1000,10,6336,-835.8866274032582,interval
20260502-222802,1777793046.746932,0,0,0.0,8319,49914000,17764.03508400917,8319,49914000,17764.03508400917,8319,49914000,17764.03508400917,10,300,cfr,1000,10,6336,-1868.2177973616554,interval
20260502-222802,1777793347.277395,0,0,0.0,8463,50778000,18064.565300941467,8463,50778000,18064.565300941467,8463,50778000,18064.565300941467,10,300,cfr,1000,10,6336,-120.6461225354,interval
20260502-222802,1777793648.6591191,0,0,0.0,8607,51642000,18365.948755025864,8607,51642000,18365.948755025864,8607,51642000,18365.948755025864,10,300,cfr,1000,10,6336,523.3167886710552,interval
20260502-222802,1777793950.771702,0,0,0.0,8749,52494000,18668.06446480751,8749,52494000,18668.06446480751,8749,52494000,18668.06446480751,10,300,cfr,1000,10,6336,966.3183520097482,interval
20260502-222802,1777794252.729721,0,0,0.0,8889,53334000,18970.01789999008,8889,53334000,18970.01789999008,8889,53334000,18970.01789999008,10,300,cfr,1000,10,6336,861.7000156812716,interval
20260502-222802,1777794554.021247,0,0,0.0,9026,54156000,19271.314745903015,9026,54156000,19271.314745903015,9026,54156000,19271.314745903015,10,300,cfr,1000,10,6336,674.1994665178366,interval
20260502-222802,1777794856.005881,0,0,0.0,9163,54978000,19573.292932748795,9163,54978000,19573.292932748795,9163,54978000,19573.292932748795,10,300,cfr,1000,10,6336,1039.8105527362995,interval
20260502-222802,1777795158.093629,0,0,0.0,9300,55800000,19875.384451150894,9300,55800000,19875.384451150894,9300,55800000,19875.384451150894,10,300,cfr,1000,10,6336,155.7306583412808,interval
20260502-222802,1777795459.492759,0,0,0.0,9439,56634000,20176.781679868698,9439,56634000,20176.781679868698,9439,56634000,20176.781679868698,10,300,cfr,1000,10,6336,239.98244040055334,interval
20260502-222802,1777795759.863186,0,0,0.0,9580,57480000,20477.152097940445,9580,57480000,20477.152097940445,9580,57480000,20477.152097940445,10,300,cfr,1000,10,6336,-350.0866362130233,interval
20260502-222802,1777796061.194942,0,0,0.0,9723,58338000,20778.481157779694,9723,58338000,20778.481157779694,9723,58338000,20778.481157779694,10,300,cfr,1000,10,6336,-849.633962847231,interval
20260502-222802,1777796362.268472,0,0,0.0,9865,59190000,21079.55740380287,9865,59190000,21079.55740380287,9865,59190000,21079.55740380287,10,300,cfr,1000,10,6336,-510.12447037055404,interval
20260502-222802,1777796662.4770088,0,0,0.0,10005,60030000,21379.76639699936,10005,60030000,21379.76639699936,10005,60030000,21379.76639699936,10,300,cfr,1000,10,6336,206.27161492797802,interval
20260502-222802,1777796964.1094122,0,0,0.0,10143,60858000,21681.40004992485,10143,60858000,21681.40004992485,10143,60858000,21681.40004992485,10,300,cfr,1000,10,6336,-835.5821824841946,interval
20260502-222802,1777797265.061857,0,0,0.0,10282,61692000,21982.353742837906,10282,61692000,21982.353742837906,10282,61692000,21982.353742837906,10,300,cfr,1000,10,6336,-1142.2647151911465,interval
20260502-222802,1777797566.694058,0,0,0.0,10423,62538000,22283.982094049454,10423,62538000,22283.982094049454,10423,62538000,22283.982094049454,10,300,cfr,1000,10,6336,967.347630368337,interval
20260502-222802,1777797867.833663,0,0,0.0,10564,63384000,22585.121913909912,10564,63384000,22585.121913909912,10564,63384000,22585.121913909912,10,300,cfr,1000,10,6336,-413.1106408228071,interval
20260502-222802,1777798168.13651,0,0,0.0,10704,64224000,22885.425181865692,10704,64224000,22885.425181865692,10704,64224000,22885.425181865692,10,300,cfr,1000,10,6336,-1231.3464356902946,interval
20260502-222802,1777798469.742023,0,0,0.0,10845,65070000,23187.028859853745,10845,65070000,23187.028859853745,10845,65070000,23187.028859853745,10,300,cfr,1000,10,6336,-1579.3776994351856,interval
