split,variant,opponent,opponent_kind,games,hands_total,agent_chips,opponent_chips,agent_wins,opponent_wins,chips_per_game,best_game_gain,worst_game_gain,std_game_gain,elapsed_sec
test,CFR,test_checkpoint_120228k,checkpoint,12,1200,11110,12890,7,5,-74.167,1000,-1000,596.007,71.966
test,CFR,test_checkpoint_140004k,checkpoint,12,1200,11730,12270,6,6,-22.5,1000,-1000,815.732,43.476
test,CFR,test_checkpoint_143004k,checkpoint,12,1200,13350,10620,6,6,112.5,1000,-1000,747.765,83.224
test,CFR,test_checkpoint_195510k,checkpoint,12,1200,10030,13930,6,6,-164.167,1000,-1000,682.122,114.506
test,Preflop,test_value_0,randomized,12,1200,10730,13230,4,8,-105.833,990,-1000,744.138,34.115
test,Preflop,test_value_1,randomized,12,1200,17130,6850,7,5,427.5,1000,-460,592.44,90.308
test,Preflop,test_tight_0,randomized,12,1200,15780,8220,10,2,315.0,1000,-200,374.555,93.777
test,Preflop,test_tight_1,randomized,12,1200,18700,5290,10,2,558.333,1000,-480,484.043,114.421
test,Preflop,test_pressure_0,randomized,12,1200,11620,12380,6,6,-31.667,1000,-1000,929.353,78.208
test,Preflop,test_pressure_1,randomized,12,1200,12590,11380,6,6,49.167,1000,-1000,854.268,81.863
test,Preflop,test_caller_0,randomized,12,1200,12790,11170,7,5,65.833,1000,-1000,824.353,114.191
test,Preflop,test_caller_1,randomized,12,1200,20020,3980,10,2,668.333,1000,-1000,622.694,84.99
test,Preflop,test_loose_0,randomized,12,1200,17980,6000,9,3,498.333,1000,-1000,865.071,113.948
test,Preflop,test_loose_1,randomized,12,1200,18960,5020,9,3,580.0,1000,-680,616.766,109.126
test,Preflop,test_fold_0,randomized,12,1200,19970,4020,11,1,664.167,1000,-510,441.899,107.896
test,Preflop,test_fold_1,randomized,12,1200,19850,4130,11,1,654.167,1000,-30,361.466,88.032
test,Preflop,test_static_Value,static,12,1200,13920,10070,6,6,160.0,1000,-1000,756.571,114.405
test,Preflop,test_static_Tight,static,12,1200,9340,14640,4,8,-221.667,1000,-1000,683.652,117.417
test,Preflop,test_static_Pressure,static,12,1200,15410,8570,8,4,284.167,1000,-1000,920.873,117.104
test,Preflop,test_static_Showdown,static,12,1200,17150,6840,9,3,429.167,1000,-1000,765.871,117.678
test,Preflop,test_checkpoint_120228k,checkpoint,12,1200,12670,11310,6,6,55.833,1000,-1000,702.37,109.239
test,Preflop,test_checkpoint_140004k,checkpoint,12,1200,11070,12930,7,5,-77.5,1000,-1000,622.657,77.028
test,Preflop,test_checkpoint_143004k,checkpoint,12,1200,9860,14140,4,8,-178.333,1000,-1000,687.202,117.076
test,Preflop,test_checkpoint_195510k,checkpoint,12,1200,9480,14510,5,7,-210.0,1000,-1000,754.597,117.48
test,Search,test_value_0,randomized,12,1200,17560,6430,8,4,463.333,1000,-1000,707.111,120.606
test,Search,test_value_1,randomized,12,1200,12420,11570,6,6,35.0,1000,-1000,651.748,115.298
test,Search,test_tight_0,randomized,12,1200,16450,7550,9,3,370.833,1000,-340,463.761,103.359
test,Search,test_tight_1,randomized,12,1200,16370,7620,10,2,364.167,1000,-360,435.669,105.303
test,Search,test_pressure_0,randomized,12,1200,13940,10040,7,5,161.667,1000,-1000,897.968,114.211
test,Search,test_pressure_1,randomized,12,1200,9580,14400,4,8,-201.667,1000,-1000,815.944,113.363
test,Search,test_caller_0,randomized,12,1200,16320,7680,7,5,360.0,1000,-1000,800.614,128.133
test,Search,test_caller_1,randomized,12,1200,18080,5910,10,2,506.667,1000,-570,548.609,123.372
test,Search,test_loose_0,randomized,12,1200,15410,8580,8,4,284.167,1000,-1000,913.897,121.729
